#SampleID	V7-arm-healthy-BA7	V7-arm-healthy-BB3	V7-arm-healthy-BB7	V7-arm-healthy-BB6	V7-arm-psoriasis-BB9	V7-arm-healthy-BA5	V7-arm-healthy-BA3	V7-arm-healthy-BA4	V7-arm-healthy-BB4	V7-arm-healthy-BA6	V7-arm-healthy-BA8	V7-arm-healthy-BB8	V7-arm-psoriasis-BB10	V7-arm-psoriasis-BA10	V7-arm-psoriasis-BA9	V7-arm-healthy-BB12
360.409__8.87_6288	42687578.28659242	42687578.28659242	42687578.28659242	42687578.28659242	42687578.28659242	12741345679403.82	42204525650701.34	22142004169677.203	66729649253384.14	42687578.28659242	16077806798283.885	42687578.28659242	42687578.28659242	42687578.28659242	42687578.28659242	13041012478975.7
360.362_C25H45N_6.78_1358	98429865.65418091	71300395.06060982	11336675.685950188	18190241.80338552	36484437.23150851	181678049.02709213	51542234.75152809	309318005.39378196	165469786.37594095	53416887.62631227	48798067.11171064	45805715.66791804	54972815.69460458	121214322.937605	70610846.35834622	9931319.771017076
360.323_C22H43NO_8.41_3077	195795528.58704177	13234727.871734206	33717641.938377805	31692152.38547118	20076068.71891276	54221746.63113361	34448005.592547484	271910850.82816803	152057750.91981357	68192965.98975788	185662039.11757764	128333915.12607267	161467371.4084129	118764384.04180804	60784814.97057504	16074125.034535104
359.352_C22H46O3_8.66_1250	73691847.03329247	261871629.41932487	4825580.77097128	12935775.929438286	13113874.05249306	321082325.73382634	140186339.33027834	126581366.65149271	235936085.6420255	160862940.5578558	246177667.63698843	33058749.937662635	17691481.992873047	142900290.000123	42924942.90273466	549852.7982676483
359.326_C20H42N2O3_4.62_2349	51239343.91597544	74791094.39887898	8324955.439497368	26409063.43930435	48724075.33194225	129056260.07135068	78110585.47728068	98278931.61044195	230529400.13055816	128212454.29000324	110657012.12353912	83070920.82095948	76941046.89400962	77672167.50311935	51177068.92463583	11159017.030667633
359.243_C19H34O6_5.86_1418	51739869.99430939	49544887.80412512	93488055.71528824	113167188.20540977	54507745.0668568	114283139.77616312	471684824.44132423	63827136.41387083	195261705.2322636	52412188.37332033	85345938.75211143	219874151.6790802	28954985.18526088	34235055.74259297	74458399.628975	5847738.365138372
359.225_C15H30N6O2S_6.47_2882	59247061.049861096	159997387.4772373	49848599.12210749	35924669.78205562	12254286.891746422	118242171.75590326	242076545.33583325	46810697.80437595	180915643.6363867	92801806.43087964	93568112.9551714	46654381.33292957	73321626.01820214	83123983.71031995	77580975.24660908	2350684.9235079624
359.205_C12H31N4O6P_3.88_681	67306091.98854227	127382674.37771793	220800472.59779075	20609575.96147972	73377275.24897021	70677103.06582853	46521286.26613297	52835924.43244676	53062611.96867977	17889180.217752866	155252678.71681568	102508815.69817588	399612742.7541673	141812849.5535394	61551435.61238348	1799062.6667048438
358.243_C13H33N4O7_2.71_1491	35825656.942918	180003632.0742964	73039823.31239462	59503928.87188136	112460265.51818907	113803288.36937375	83269875.68425278	44401206.60091917	127871748.7478778	47325733.25151081	129697523.85497408	100456068.18054567	338482329.65358865	88739357.55160566	52954878.19610605	298232.4370640574
357.3_C21H40O4_7.37_652	190450207.15114585	8901841.016882028	53289958.84373622	58747778.44980854	5874316.855062087	111333424.52329507	40755227.270658895	141022664.5118275	118177270.18935654	87806271.54168184	156106206.83205265	76263087.65437791	51780559.27614847	104631431.81308536	60854249.168254	1232486.804308166
357.347_C21H44N2O2_5.94_2938	146845953.03157473	25833321.95250263	87017663.65491441	62658594.17220542	48948489.47916977	46863811.71862706	33288143.62132037	179300742.78908047	235147301.26480725	30829899.947227515	65982531.98774224	85953673.62189893	62681574.13288684	36263092.09390929	21904054.735388923	3463592.724201865
356.352_C22H45NO2_8.22_4082	112599329.96435228	48550794.12166271	39931179.268759616	47183584.7299614	23672517.18545135	120988738.81254864	34613035.23869536	361064279.707598	148164959.43615958	154217107.7232805	170916680.79702833	36827838.79869594	60634424.31483289	74874444.29285547	50874352.28000852	2607962.8986779195
356.245_C18H34N3O2P_6.47_2752	155957907.1008329	66259125.73351772	44124757.59907166	49514355.94237885	16767695.884618755	119041944.19805393	118272387.50154027	110718011.81658904	112844140.30390345	123746585.4902632	157790517.2611314	47285265.40682564	30495388.34961058	133297212.01688252	37739030.727016	430372.1353357111
355.368_C22H46N2O_6.42_4078	429176050.8774096	65053628.540502	89357297.68081552	28967083.232473794	21609467.57195985	212357585.8485984	34015030.86257693	615562623.1626376	216254130.3392864	45460359.04554357	73222810.06479006	30745176.693304837	20507327.03443517	65052887.88756603	140684576.7495961	4832142.176294487
355.283_C21H38O4_5.92_1291	34416100.95844816	34001541.14110772	34276512.35573965	71368124.21786267	55863004.61524633	117256524.32736991	279286073.3082832	88261471.37665778	163114746.1843438	96582690.80352424	77985872.24350081	46598580.2565869	73957247.46655302	56777924.31273969	114615890.26440136	2066598.6352892944
355.282_C21H38O4_7.34_1924	95687691.13902959	19846669.038919106	44561273.85270352	48802667.63678687	28528471.51821063	139501899.0028826	60759464.06458857	136229726.0074644	6714138.550469216	75202344.64845249	158550014.09018892	115955528.12100446	74505725.39779389	104330947.91962652	73666319.77891655	515569.69156065903
355.282_C21H38O4_7.02_137	70925795.51958323	18301202.778065085	125946529.51028328	47803322.19760834	43319610.28266558	118404986.34765694	57929907.48804437	100436355.26953472	101397900.00500046	78828764.2305563	93450215.23563659	133977831.14844099	73652174.22375412	103184525.88036174	84447483.69880575	1164022.738550065
355.261_C19H36N3OS_7.39_2480	14.421398154744255	29953229.546005666	37637238.9108165	27689084.45710897	111049813.28088494	14.421398154744255	82963419.30461276	140441329.3687633	758184529.6002995	43991883.79372301	14.421398154744255	151785633.79922977	128648447.3486935	257017927.17148164	71076581.8755648	16678419.072952505
354.409_C24H51N_7.52_3481	136452591.7364313	60858254.28395625	83298777.43995318	31172947.435991045	65340681.77787397	73567627.46220331	36484325.34153078	209944049.86244103	39871274.40702698	137116487.03300795	108433041.88687778	31533437.03205932	52634207.51748712	47136350.52401682	87254248.4820893	10639136.313486682
353.352_C22H44N2O_6.43_3017	67178783.89076181	65484313.67186657	45848379.95820134	66014872.80110948	70433455.90732214	114631836.06091207	88621272.46811321	280794630.4233805	182229780.1788288	38257242.52410203	50532859.79746808	39691096.228755616	47823696.10107414	71577103.30010343	48584013.32292768	31362751.1018909
353.303_C16H38N6O_6.73_1962	30032826.729890585	33280600.09826471	75654770.89274557	40894562.70838072	34669735.91051091	154184504.96374315	25989988.603747416	229272913.5433636	97968110.56260468	21640742.55188635	161316767.32114318	197740988.05773547	55208104.36299646	152346552.20838848	61364934.27211443	1354143.4833402713
353.301_C22H40O3_8.13_794	135719900.9393626	84656038.5270338	28668334.653300066	31170689.28924401	27817525.91282593	223938022.992806	50860751.01815525	290014139.41436327	126010182.64205758	90253858.0657625	163657763.31046468	83116744.27262573	44665405.67554212	137591345.69881144	71992692.45632753	356730.4235342237
353.267_C19H34N3O3_5.99_1838	94741402.08945157	10504481.358172758	84902601.99549711	108137932.24103422	35285005.17646345	32104750.14587835	101275545.25769128	64154438.4870363	91573661.39204223	169910729.4320865	92589425.06833407	113223453.28168479	74505723.54240796	86209269.18875162	33858860.38043688	2209174.8480076184
353.266_C19H38O4_7.24_193	129668059.36193796	2981265.681690429	80830520.15215379	74696673.97418971	27979921.15075966	119853544.43343292	42877549.12572067	136474500.5459575	102352821.35560602	84820705.2747187	141569963.67802104	110070821.18864743	65151158.05898644	97961476.4968873	45915407.853762396	14792070.903735114
352.117__4.93_1506	54734791.18569511	46999304.2196877	198101770.39254645	35162538.46607335	136313059.41586366	78485032.08763514	123996631.9096815	30104994.533437014	71314161.32159095	34511161.41888592	143558868.947084	34573598.46643483	595022362.4839501	157987353.44124982	124088025.00993212	42139552.12573467
