#SampleID	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11
984_503.247_3.02_C20H34N6O9_Fatty acyl glycosides_NCGC00384970-01!7-[(2S,3R,4S,5S,6R)-6-[[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-5-hydroxy-3-(4-hydroxyphenyl)chromen-4-one_Amino acids, peptides, and analogues_5-amino-2-[[2-[[4-amino-2-[(2-amino-4-methylpentanoyl)amino]-4-oxobutanoyl]amino]-4-carboxybutanoyl]amino]-5-oxopentanoic acid	25473041.59202708	118661072.89536868	79522904.84690115	45498801.02197174	41357463.38362023	46616621.71513232	60873106.25923512	63070179.0	61952809.48467846
982_601.323_5.25_C26H44N6O10	25985102.935818244	70974885.0	63027121.59001759	59444690.75064174	54842442.73772315	61241504.56104042	61121163.67055505	58409964.99683516	26665212.23850852
981_620.442_6.86_C38H57N3O4_Anthraquinones_N-[2-[[5-(1-hexadecoxybutan-2-ylamino)-9,10-dioxoanthracen-1-yl]amino]ethyl]acetamide	49470031.94739591	70330413.19608754	61712063.52579394	62449341.301549	22769129.70406192	52262545.43574531	60303097.36135303	63070179.0	48736653.07377939
980_325.199_4.26_C18H28O5	69366085.08706787	65893638.71114309	66875336.45894042	77931989.0	46469265.79581208	49945464.42972319	52756294.20450144	45481563.95165031	84447760.4419434
97_469.379_9.61_C30H48N2O2_Alcohols and polyols	19292483.62054622	28598107.50447229	77692076.47167453	77931989.0	170898538.83284587	40736136.28151501	81320968.06762837	44317369.66385105	30489811.113717534
977_555.35_5.34_C30H50O9_Terpene lactones_[(4Z)-7,10-dihydroxy-3,7-dimethyl-12-oxo-2-[(2E,4E)-8,9,11-trihydroxy-6,10-dimethyltrideca-2,4-dien-2-yl]-1-oxacyclododec-4-en-6-yl] acetate	103644146.10693404	55414566.76193824	97123935.83032373	52345134.16833374	56334863.23096432	60935294.45942118	42299944.804308295	63070179.0	15854535.73428552
976_433.222_3.75_C24H32O7	34771105.0	50438053.843885496	36074422.46342105	39430803.95022772	31495030.01928331	54539940.89504738	38493449.01113302	37617709.00364333	40940784.42887992
975_271.274_4.74_C16H34N2O_N-[3-(3-Aminopropylamino)propyl]dodecanamide_Fatty amides	59519942.70040668	86929045.29873917	27725888.29276073	120737117.50171731	799401805.7257805	50625242.88822863	10674296.925406348	63070179.0	6699411.825089986
974_167.106_2.92_C10H14O2_1-(m-Tolyloxy)-2-propanol	34771105.0	56079480.00010671	90466370.64097768	71387619.94305483	58982339.55712764	83040146.09754805	65256450.17410751	46551709.68044239	33474535.062684275
972_681.494_8.31	51958982.26231321	61561063.60542783	19831630.440975934	166384155.31594655	59111384.74194374	157079430.25643185	40623119.67542466	63070179.0	12561742.28830257
971_307.263_7.21_C20H34O2_Palmitoleic Acid ethyl ester_Lineolic acids and derivatives_Pinolenic Acid ethyl ester	154020219.4258237	87708954.4498656	54675350.13988324	57360372.04097941	65998781.93989387	43417790.23235564	30999084.0	45803682.264677	25703809.825417437
970_235.18_8.69_C14H22N2O_Xylenes_Cuivasil_map00982	57309989.84847333	84193881.25307995	43546647.53406492	39176279.45621511	47485052.73543987	52991990.0	32596243.58472373	62575747.48311652	22619274.285997026
968_443.42_6.18_C26H54N2O3_Fatty amides	44227355.59537223	117164483.89557296	6834376.735757115	105547737.29245582	83366650.0	92604370.51324588	22876466.170749664	56050287.75717352	6184463.90924051
967_493.28_6.88_C20H40N6O6S_Amino acids, peptides, and analogues_6-amino-2-[[2-[[6-amino-2-[(2-amino-4-methylsulfanylbutanoyl)amino]hexanoyl]amino]-3-hydroxypropanoyl]amino]hexanoic acid	20721263.52474407	81703104.96571963	31034179.0	189357765.14320132	208713282.80121768	118082910.48742482	18174543.00259318	36911638.53171776	21489664.141499966
965_732.546_6.63_C37H73N5O9	35135058.97411539	70974885.0	29775575.56838302	93509283.3897492	68781610.54866244	70584189.600411	26168220.79431048	104014650.01544435	14801839.251838313
964_387.144_3.86_C21H22O7	39567213.78554953	51289170.99824782	64720084.55726994	57137061.02807874	65993096.97465567	52991990.0	71051489.73276244	52868803.64274047	45412828.26633466
963_546.401_6.53_C26H59BN3O3Se	30169732.162329637	65100516.28445471	72563306.34013446	60841307.20167857	267599263.79779908	52991990.0	99981294.18008824	48153180.02369225	64881061.56907201
962_573.412_8.81_C23H58N8O4P2	34771105.0	16517291.853325725	41032341.917122655	69619572.2511547	168952506.45330596	35479892.0097279	83980727.11053456	32609337.742663786	26611197.76406728
961_478.228_2.7_C21H35NO11	53170665.018193	54261365.23028338	61992067.86700402	54277450.47149693	60339839.14665052	52991990.0	68138788.31713578	57361291.13377997	59933816.66352444
