#SampleID	V2-arm-psoriasis-2C7	V2-arm-healthy-2A11	V2-arm-healthy-2B3	V2-arm-healthy-2B12	V2-arm-healthy-2B9	V2-elbow-psoriasis-2B6	V2-elbow-psoriasis-2B7	V2-arm-healthy-2B10	V2-arm-healthy-2A5	V2-elbow-psoriasis-2A9	V2-arm-healthy-2C4	V2-elbow-psoriasis-2B8	V2-arm-healthy-2B11	V2-arm-psoriasis-2C5	V2-arm-healthy-2A12	V2-arm-healthy-2A3	V2-elbow-psoriasis-partial-2A7	V2-arm-healthy-2A4	V2-arm-healthy-2B5	V2-arm-healthy-2C1	V2-arm-healthy-2C10	V2-arm-healthy-2C3	V2-arm-healthy-2A6	V2-arm-healthy-2C11	V2-arm-healthy-2B2	V2-arm-psoriasis-2A10	V2-arm-healthy-2B4	V2-arm-healthy-2B1	V2-elbow-psoriasis-partial-2A8	V2-arm-healthy-2C9	V2-arm-healthy-2C8	V2-arm-healthy-2C2	V2-elbow-psoriasis-2C6
528.429_C29H57N3O5_8.68_739	31931855.81299937	65987624.79333099	26605308.407405127	56365935.81418447	71397796.26957294	29526801.46658769	12466260.30605325	87878091.53543475	44148759.73397207	54883507.36498058	78705851.16730966	36514089.877971455	58863206.11278106	27948900.736791704	18931146.885354623	45418426.64945242	40380594.08155379	22973915.307151694	45055223.68445244	21250366.26300061	71009261.44807085	75615444.92723282	64490784.99476016	14822505.746174825	57882334.28817671	75915004.89567561	14514075.063449714	22276881.3567152	30776843.14270811	55471073.58173726	59839594.62511887	45627790.0	51603888.33837244
527.428_C31H64OSe_8.8_161	30175381.260386147	57464876.53017213	28918317.14825777	49305279.49999999	77749858.48995614	30336248.222671986	30026963.727451567	92440928.08430047	41204345.51849639	60364332.41573934	69969760.35745552	38255852.66997735	59015708.1626668	31106438.67908584	16388592.825160438	40011645.346520185	38356693.30233527	20404075.352152586	47124934.71798754	22710180.27714437	69394311.30059204	77814838.05532329	62368716.14401396	16132876.380476754	57741079.76326489	78563216.03987718	14776258.363698466	25952466.24875108	32412570.05307717	57743691.01452149	62698137.53321494	45879214.53516327	50047671.05907386
527.403__8.46_548	66080918.16811425	42436011.879335664	27062357.789057404	51253167.66266133	64210532.04434268	61433692.14088328	45637566.88306955	77406294.443675	33243338.49785571	88048569.24354722	54211604.95154125	79082189.86684056	42562808.749368586	29912507.76027031	14944435.007881772	32073815.837806176	237893409.6603692	23570909.817290373	46911926.45260848	14270139.211892948	41492882.61003064	37702115.70636112	174169893.66984934	39122268.91684388	36984689.29159308	72325510.23759086	15565181.807875298	18771166.615844157	209127171.34223717	38212153.76624119	43131639.5	39429133.95073179	102602514.29101554
527.373_C33H50O5_7.82_1042	40868394.79528386	26540833.62600845	46248633.92503645	59038448.08288443	60889595.8229922	41128789.5	82708907.99686386	62458478.16581241	55961460.0006156	41258328.4368976	40946886.12176145	55104478.58786842	57829347.70711768	39232049.53657871	7107721.625748213	33458773.71873722	45660220.23665898	44228252.70913307	54330222.63734282	20960418.7829933	26741310.39553212	56895624.42207849	48252392.03700162	45476320.52262226	48466373.77247907	70476496.79769216	30093157.81367332	22570938.21282292	36564288.62307234	5989688.0602288535	5159268.477653594	22027396.22493359	37655869.48164037
527.322_C28H46O9_5.44_2042	98471204.80709665	35549672.04795013	79443363.68054184	40489250.77880605	76739475.13354112	92989271.08912492	40437581.97476385	38508464.62833853	53526161.31124431	53414849.80023975	35331828.655382395	27108104.26553345	69985522.13924718	122955260.53291775	28415233.622632466	18541057.746535607	38043391.53697915	52291567.87982259	134366120.93378088	36580589.31238072	51009989.344617605	121419484.81093264	34494247.40185567	91650267.99893072	68250348.35521458	41605730.14210981	62464337.64152482	26483186.22872213	12919740.609431792	49966313.49892113	18850925.83553105	45627790.0	35141283.00561017
527.306_C24H46O12_3.76_3360	52404447.93194085	34500086.86886872	26909856.03868831	136326454.49861225	57694029.0	67999177.97475187	53016618.02347238	32174506.264659274	63903658.31668435	48623272.30876769	42924381.39203557	40893364.07271249	50081819.20977737	37488901.98370478	28580370.052698325	25486549.58482733	47406723.21012594	54758793.68459818	50232616.4181253	38775793.80344178	38453225.32271936	30707109.99811181	93981766.21500257	46076680.52741709	213640889.7861033	131883743.26713894	55897968.93033522	75312811.17662565	31599266.101702746	42100118.57550174	33716267.97666461	39447946.76620724	32840378.627326954
527.176_C20H26N6O11_2.86_1481	55820266.90182379	37262022.65671784	59530916.40249056	31681454.26359047	29730104.729810346	61090143.57890644	26878752.63024663	44442768.15004064	68468341.62006336	80775194.73314989	32200506.049142703	59647000.26047836	20687628.094467413	47378982.59629952	60560104.03944506	28642785.28344592	48645637.33918229	62169399.17777677	42329349.5	86693915.59451254	47259508.67245084	61335227.66924351	23658962.93243831	64549107.60274853	80536406.33432616	148541012.74080974	34477640.09967408	20212347.563719746	47134854.18360627	15255255.74999736	17464973.394923467	40881350.6079108	40202910.88460994
526.887__7.81_2630	86786295.40056494	31741965.81018485	24086265.60039462	36481334.947464	79159152.05537249	70847990.38223904	62566976.25858118	36200729.0	52297508.72985359	99117459.33019644	18504846.27349413	36298555.127048105	22474212.720985584	24110374.107781075	30472358.98697244	49264362.60544851	402183956.70374703	28363877.38627303	48779332.7995122	29854831.684098396	33360889.8127864	41472707.49251299	317060908.0221228	21338052.64236582	28941925.51889644	34462455.97059298	24871599.2355714	47995073.52203692	438497127.8616324	25791255.385666806	33458316.779209737	34430838.874538645	203932114.42721343
526.431_C30H63N2Se_6.99_213	46480969.0	45056637.15806102	20400067.628844656	35276699.07747385	63269444.52890774	27547903.92868588	67403034.5111931	40790648.6173767	31531390.01401203	63970414.26958929	59637094.44424066	54245016.51765875	43643494.04688133	22242970.17309296	32669449.662333906	53386236.28497198	49221696.57860407	18665136.80000098	30954424.57369213	82507300.72240728	78664952.85333489	53301686.71792703	79185434.86038929	28932795.106077436	42984557.03770007	61870863.65485098	13910416.69688853	36001549.70064765	40836680.84628267	54924975.8199241	72740604.49035126	36461857.09065004	97037327.69789724
526.395_C27H51N5O5_6.41_2857	48281120.70319585	66897347.05674002	29084650.0	45107774.40710133	34109941.063103296	28050775.62247834	61532136.463087596	74465404.45711161	58864538.10023384	115380223.68935156	61866423.93765657	23611860.00794184	41827212.30102509	105224696.39851728	87897212.77855875	20574823.724936634	43831792.91428085	18382602.9681395	42383288.71425559	42354768.410523176	123756730.6443429	49979149.93528872	91454465.67532589	37528025.14368232	49329966.36876602	59685535.0200752	23177047.46331189	30218618.131903145	38216137.62372354	33276539.361736026	29931882.31985018	40117059.89020531	58226761.22936715
