id	SiriusMF	SiriusScore	connectedCompounds	ZodiacMF	ZodiacScore	2	3	4	5	6	7	8	9	10
2339	C29H44O9	0.818988968	6	C29H44O9	0.783683684	C22H46N6O5P2	0.155255255	C20H44N9O4P2	0.054154154	C24H41N8O4P	0.004704705	C18H42N12O3P2	0.001001001	C28H45N2O6P
1008	C32H62N6O7	0.997802056	8	C32H62N6O7	0.997097097	C30H60N9O6	0.001501502	C35H60N7O4	0.001101101	C29H64N5O10	1.00E-04	C22H58N16O6	1.00E-04	C24H60N13O7
1007	C22H47N	1	5	C22H47N	1									
2338	C29H65B2N3O3Se	0.655261806	22	C30H65BN4O2Se	0.991591592	C32H67BNO3Se	0.007607608	C29H65B2N3O3Se	6.01E-04	C31H67B2O4Se	2.00E-04			
1006	C12H26N9O6	0.42287448	6	C12H26N9O6	0.42022022	C14H28N6O7	0.318618619	C15H24N10O3	0.212512513	C13H22N13O2	0.048348348	C16H33N4O3PS	2.00E-04	C18H28N6O2S
2337	C21H45N	1	0	C21H45N	1									
1005	C16H44N14O4S	0.970739209	5	C16H44N14O4S	0.96986987	C18H46N11O5S	0.017917918	C13H40N18O5	0.010910911	C20H48N8O6S	8.01E-04	C23H44N8O6	4.00E-04	C15H42N15O6
2336	C34H71N	0.988596208	19	C34H71N	1									
2335	C17H44N7O2	0.844829611	5	C17H44N7O2	0.843743744	C19H42N7O2	0.122922923	C22H44N2O4	0.017617618	C17H40N10O	0.008308308	C23H40N6	0.004404404	C15H42N10O
1004	C18H38O7S	0.660646833	34	C18H38O7S	0.936236236	C18H40O5P2	0.061861862	C18H40NO4S2	0.001801802	C21H34O7	1.00E-04			
2334	C34H69NO10	0.44855561	14	C34H69NO10	0.993393393	C31H61N11O4	0.002502503	C25H61N15O5	0.001901902	C33H70N3O7P	8.01E-04	C30H65N7O8	3.00E-04	C34H70NO8P
1003	C12H29N4O5	0.628783123	7	C14H31NO6	0.9998999	C12H29N4O5	1.00E-04							
1002	C15H22O6	0.502075931	7	C15H22O6	0.528428428	C13H20N3O5	0.432932933	C11H18N6O4	0.035435435	C13H24O6	0.003103103	C9H23N4O5P	1.00E-04	
2332	C31H59N5O4	0.680856412	11	C31H59N5O4	0.567867868	C28H61N4O7	0.292292292	C30H63NO8	0.064964965	C26H59N7O6	0.057657658	C27H55N11O2	0.016216216	C29H65N4O2S2
1001	C17H41N4O5	0.718847802	1	C17H41N4O5	0.727527528	C15H39N7O4	0.25995996	C20H39N5O2	0.011611612	C18H37N8O	6.01E-04	C12H37N12O2	3.00E-04	
3663	C23H38N2O	0.713761233	53	C23H38N2O	0.9998999	C18H38N4O3	1.00E-04							
3664	C21H34N2O2S	0.620645306	6	C21H34N2O2S	0.614814815	C13H30N8O5	0.296696697	C15H32N5O6	0.065065065	C16H28N9O2	0.015815816	C17H37N3O2PS	0.006406406	C17H34N2O7
3665	C9H12N4	0.397525784	0	C8H16O4	0.405305305	C9H12N4	0.39009009	C4H12N6O2	0.188688689	C7H14N4	0.007507508	C11H14NO	0.004204204	C6H14N3O3
3667	C21H29NO6	0.902130551	2	C21H29NO6	0.8997998	C17H25N7O4	0.094294294	C15H30N5O5P	0.002402402	C16H29N3O8	0.001601602	C18H35NO4P2	9.01E-04	C19H27N4O5
3668	C23H48NO6P	0.98679307	5	C25H43N3O5	0.795595596	C23H48NO6P	0.204304304	C24H44N5O2P	1.00E-04					
3669	C19H36O9	0.995903855	36	C19H36O9	1									
1009	C37H72N6O6S	0.254425735	42	C37H76O13	0.993093093	C43H73N2O5P	0.001901902	C47H70NO5	0.001501502	C30H64N16O5	0.001401401	C40H76N2O5S2	9.01E-04	C40H77N2O5PS
3680	C48H67N3O2	0.201065119	0	C48H67N3O2	0.206406406	C33H63N15O3	0.174574575	C32H67N11O7	0.138638639	C36H71N5O9	0.083983984	C44H63N9	0.055855856	C33H73N4O12
3681	C15H26O2	1	83	C15H26O2	1									
3682	C20H44N4O5	0.99302448	2	C20H44N4O5	0.993293293	C23H46N2O3	0.003303303	C23H42N5O2	0.001701702	C21H40N8O	0.001501502	C21H44N5O2	1.00E-04	C22H46NO6
3684	C18H30N6O4	0.553176976	13	C17H34N2O8	0.963163163	C18H30N6O4	0.036136136	C20H32N3O5	6.01E-04	C22H34O6	1.00E-04			
1022	C34H64N7O7PS	0.330351863	6	C34H64N7O7PS	0.291691692	C35H63N5O10S	0.281781782	C32H67N5O10S2	0.193493493	C36H59N9O6S	0.05975976	C33H67N3O11S2	0.039139139	C33H68N3O11PS
2353	C11H25N7O5	0.880055429	2	C11H25N7O5	0.781081081	C15H29NO7	0.142142142	C12H21N11O	0.051051051	C9H23N10O4	0.00990991	C16H25N5O3	0.006306306	C13H27N4O6
2352	C18H43N4O6S	0.534699113	7	C18H43N4O6S	0.515515516	C16H41N7O5S	0.456356356	C18H37N9O4	0.016516517	C21H41N5O3S	0.004504505	C17H41N5O8	0.003103103	C13H37N11O6
1021	C29H70N14O3Se	0.95468446	0	C29H70N14O3Se	0.957757758	C33H74N8O5Se	0.031931932	C31H72N11O4Se	0.00960961	C32H72N9O5Se	6.01E-04	C34H74N6O6Se	1.00E-04	
